code,name,r,g,b,type
#9397a1,PLASCON B6-E2-1 — Plascon Colour Inspired,147,151,161,Лето
#a6aab3,PLASCON B6-E2-2 — Plascon Colour Inspired,166,170,179,Лето
#b9bdc7,PLASCON B6-E2-3 — Plascon Colour Inspired,185,189,199,Лето
#708ac4,PLASCON B7-A1-2 — Plascon Colour Inspired,112,138,196,Лето
#90a5d7,PLASCON B7-A1-3 — Plascon Colour Inspired,144,165,215,Лето
#a9b8e1,PLASCON B7-A1-4 — Plascon Colour Inspired,169,184,225,Лето
#c3cce8,PLASCON B7-A2-1 — Plascon Colour Inspired,195,204,232,Лето
#d5dae9,PLASCON B7-A2-2 — Plascon Colour Inspired,213,218,233,Лето
#e0e1e9,PLASCON B7-A2-3 — Plascon Colour Inspired,224,225,233,Лето
#6c7fab,PLASCON B7-B1-2 — Plascon Colour Inspired,108,127,171,Лето
#8a9ac2,PLASCON B7-B1-3 — Plascon Colour Inspired,138,154,194,Лето
#a3afd0,PLASCON B7-B1-4 — Plascon Colour Inspired,163,175,208,Лето
#b6bfdb,PLASCON B7-B2-1 — Plascon Colour Inspired,182,191,219,Лето
#cdd1e5,PLASCON B7-B2-2 — Plascon Colour Inspired,205,209,229,Лето
#dadbe7,PLASCON B7-B2-3 — Plascon Colour Inspired,218,219,231,Лето
#7883a0,PLASCON B7-C1-3 — Plascon Colour Inspired,120,131,160,Лето
#8d97b1,PLASCON B7-C1-4 — Plascon Colour Inspired,141,151,177,Лето
#a2abc1,PLASCON B7-C2-1 — Plascon Colour Inspired,162,171,193,Лето
#b6bdd1,PLASCON B7-C2-2 — Plascon Colour Inspired,182,189,209,Лето
#ced2e2,PLASCON B7-C2-3 — Plascon Colour Inspired,206,210,226,Лето
#757b8d,PLASCON B7-D1-3 — Plascon Colour Inspired,117,123,141,Лето
#888ea0,PLASCON B7-D1-4 — Plascon Colour Inspired,136,142,160,Лето
#999eaf,PLASCON B7-D2-1 — Plascon Colour Inspired,153,158,175,Лето
#aeb3c1,PLASCON B7-D2-2 — Plascon Colour Inspired,174,179,193,Лето
#c5c9d7,PLASCON B7-D2-3 — Plascon Colour Inspired,197,201,215,Лето
#828691,PLASCON B7-E1-4 — Plascon Colour Inspired,130,134,145,Лето
#9195a0,PLASCON B7-E2-1 — Plascon Colour Inspired,145,149,160,Лето
#a4a8b4,PLASCON B7-E2-2 — Plascon Colour Inspired,164,168,180,Лето
#bbbfcb,PLASCON B7-E2-3 — Plascon Colour Inspired,187,191,203,Лето
#8e9c9d,PLASCON G7-E2-1 — Plascon Colour Inspired,142,156,157,Лето
#7b84bf,PLASCON P1-A1-2 — Plascon Colour Inspired,123,132,191,Лето
#979fd2,PLASCON P1-A1-3 — Plascon Colour Inspired,151,159,210,Лето
#afb4de,PLASCON P1-A1-4 — Plascon Colour Inspired,175,180,222,Лето
#c5c8e5,PLASCON P1-A2-1 — Plascon Colour Inspired,197,200,229,Лето
#d9d8e8,PLASCON P1-A2-2 — Plascon Colour Inspired,217,216,232,Лето
#dfdee7,PLASCON P1-A2-3 — Plascon Colour Inspired,223,222,231,Лето
#747aa7,PLASCON P1-B1-2 — Plascon Colour Inspired,116,122,167,Лето
#9094bb,PLASCON P1-B1-3 — Plascon Colour Inspired,144,148,187,Лето
#a9accd,PLASCON P1-B1-4 — Plascon Colour Inspired,169,172,205,Лето
#bdbdd7,PLASCON P1-B2-1 — Plascon Colour Inspired,189,189,215,Лето
#cfd0e4,PLASCON P1-B2-2 — Plascon Colour Inspired,207,208,228,Лето
#dcdce8,PLASCON P1-B2-3 — Plascon Colour Inspired,220,220,232,Лето
#7c7f9c,PLASCON P1-C1-3 — Plascon Colour Inspired,124,127,156,Лето
#a3a6bd,PLASCON P1-C2-1 — Plascon Colour Inspired,163,166,189,Лето
#bbbcce,PLASCON P1-C2-2 — Plascon Colour Inspired,187,188,206,Лето
#d2d1df,PLASCON P1-C2-3 — Plascon Colour Inspired,210,209,223,Лето
#76788a,PLASCON P1-D1-3 — Plascon Colour Inspired,118,120,138,Лето
#898c9d,PLASCON P1-D1-4 — Plascon Colour Inspired,137,140,157,Лето
#9e9fb1,PLASCON P1-D2-1 — Plascon Colour Inspired,158,159,177,Лето
#b0b1c0,PLASCON P1-D2-2 — Plascon Colour Inspired,176,177,192,Лето
#c7c8d5,PLASCON P1-D2-3 — Plascon Colour Inspired,199,200,213,Лето
#848590,PLASCON P1-E1-4 — Plascon Colour Inspired,132,133,144,Лето
#9596a1,PLASCON P1-E2-1 — Plascon Colour Inspired,149,150,161,Лето
#a9a9b3,PLASCON P1-E2-2 — Plascon Colour Inspired,169,169,179,Лето
